,Symbol,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares
2647,QQEW,First Trust NASDAQ-100 Equal Weighted Index Fund,G,N,N,100.0,Y,N
2648,QQQ,"Invesco QQQ Trust, Series 1",G,N,N,100.0,Y,N
2649,QQQX,Nuveen NASDAQ 100 Dynamic Overwrite Fund - Shares of Beneficial Interest,Q,N,N,100.0,N,N
2650,QQXT,First Trust NASDAQ-100 Ex-Technology Sector Index Fund,G,N,N,100.0,Y,N
2651,QRHC,Quest Resource Holding Corporation - Common Stock,S,N,N,100.0,N,N
2652,QRTEA,"Qurate Retail, Inc. - Series A Common Stock",Q,N,N,100.0,N,N
2653,QRTEB,"Qurate Retail, Inc. - Series B Common Stock",Q,N,N,100.0,N,N
2654,QRVO,"Qorvo, Inc. - Common Stock",Q,N,N,100.0,N,N
2655,QTEC,First Trust NASDAQ-100- Technology Index Fund,G,N,N,100.0,Y,N
2656,QTNT,Quotient Limited - Ordinary Shares,G,N,N,100.0,N,N
2657,QTRX,Quanterix Corporation - Common Stock,G,N,N,100.0,N,N
2658,QTT,Qutoutiao Inc. - American Depositary Shares,Q,N,N,100.0,N,N
2659,QUIK,QuickLogic Corporation - Common Stock,S,N,N,100.0,N,N
2660,QUMU,Qumu Corporation - Common Stock,S,N,N,100.0,N,N
2661,QURE,uniQure N.V. - Ordinary Shares,Q,N,N,100.0,N,N
2662,QYLD,Global X NASDAQ-100 Covered Call ETF,G,N,N,100.0,Y,N
2663,RADA,RADA Electronic Industries Ltd. - Ordinary Shares,S,N,N,100.0,N,N
2664,RAIL,"Freightcar America, Inc. - Common Stock",Q,N,N,100.0,N,N
2665,RAND,Rand Capital Corporation - Common Stock ($0.10 Par Value),S,N,N,100.0,N,N
2666,RAPT,"RAPT Therapeutics, Inc. - Common Stock",G,N,N,100.0,N,N
2667,RARE,Ultragenyx Pharmaceutical Inc. - Common Stock,Q,N,N,100.0,N,N
2668,RAVE,"Rave Restaurant Group, Inc. - Common Stock",S,N,N,100.0,N,N
2669,RAVN,"Raven Industries, Inc. - Common Stock",Q,N,N,100.0,N,N
2670,RBB,RBB Bancorp - Common Stock,Q,N,N,100.0,N,N
2671,RBBN,Ribbon Communications Inc.  - Common Stock,Q,N,N,100.0,N,N
2672,RBCAA,"Republic Bancorp, Inc. - Class A Common Stock",Q,N,N,100.0,N,N
2673,RBCN,"Rubicon Technology, Inc. - Common Stock",S,N,N,100.0,N,N
2674,RBKB,"Rhinebeck Bancorp, Inc. - Common Stock",S,N,N,100.0,N,N
